         1030043 function calls (1008679 primitive calls) in 7.531 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2395/1908    6.294    0.003   13.409    0.007 {method 'acquire' of '_thread.lock' objects}
        8    0.000    0.000    7.535    0.942 C:\Program Files\Python312\Lib\logging\__init__.py:2208(info)
        8    0.000    0.000    7.535    0.942 C:\Program Files\Python312\Lib\logging\__init__.py:1529(info)
        5    0.000    0.000    7.522    1.504 C:\Program Files\Python312\Lib\logging\__init__.py:1660(_log)
      109    0.000    0.000    7.114    0.065 C:\Program Files\Python312\Lib\tkinter\__init__.py:1963(__call__)
        5    0.000    0.000    6.833    1.367 C:\Program Files\Python312\Lib\logging\__init__.py:1686(handle)
        5    0.000    0.000    6.833    1.367 C:\Program Files\Python312\Lib\logging\__init__.py:1746(callHandlers)
        1    0.000    0.000    6.829    6.829 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\error_handler.py:34(wrapper)
        1    0.000    0.000    6.829    6.829 \\wsl$\Ubuntu\home\erfi\apmpy\src\main.py:39(main)
        1    0.000    0.000    6.829    6.829 \\wsl$\Ubuntu\home\erfi\apmpy\src\tracker.py:17(run)
        1    0.000    0.000    6.829    6.829 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:104(run_main_loop)
        1    0.000    0.000    6.829    6.829 C:\Program Files\Python312\Lib\tkinter\__init__.py:1503(mainloop)
        1    0.000    0.000    6.765    6.765 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.000    0.000    6.765    6.765 \\wsl$\Ubuntu\home\erfi\apmpy\src\tracker.py:33(on_closing)
        1    0.000    0.000    6.765    6.765 C:\Program Files\Python312\Lib\threading.py:1117(join)
        1    0.000    0.000    6.765    6.765 C:\Program Files\Python312\Lib\threading.py:1155(_wait_for_tstate_lock)
      479    0.002    0.000    6.666    0.014 C:\Program Files\Python312\Lib\threading.py:637(wait)
      477    0.009    0.000    6.655    0.014 C:\Program Files\Python312\Lib\threading.py:323(wait)
        1    0.000    0.000    0.688    0.688 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:22(setup_gui)
 2037/616    0.004    0.000    0.402    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:54(draw_wrapper)
    17/16    0.000    0.000    0.366    0.023 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
        1    0.000    0.000    0.361    0.361 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:47(setup_notebook)
    17/16    0.000    0.000    0.336    0.021 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:380(draw)
    17/16    0.000    0.000    0.335    0.021 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:93(draw_wrapper)
    17/16    0.000    0.000    0.335    0.021 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:3142(draw)
    34/17    0.000    0.000    0.327    0.019 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
       17    0.001    0.000    0.327    0.019 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3072(draw)
        1    0.000    0.000    0.307    0.307 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\graph_frame.py:13(__init__)
        1    0.000    0.000    0.307    0.307 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\graph_frame.py:19(setup_graph_frame)
       33    0.000    0.000    0.307    0.009 C:\Program Files\Python312\Lib\tkinter\__init__.py:860(callit)
