         2103794 function calls (2061975 primitive calls) in 5.527 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    5.530    0.691 C:\Program Files\Python312\Lib\logging\__init__.py:2208(info)
        8    0.000    0.000    5.530    0.691 C:\Program Files\Python312\Lib\logging\__init__.py:1529(info)
        5    0.000    0.000    5.515    1.103 C:\Program Files\Python312\Lib\logging\__init__.py:1660(_log)
       27    0.000    0.000    5.107    0.189 C:\Program Files\Python312\Lib\tkinter\__init__.py:1963(__call__)
        5    0.000    0.000    4.764    0.953 C:\Program Files\Python312\Lib\logging\__init__.py:1686(handle)
       15    0.000    0.000    4.764    0.318 C:\Program Files\Python312\Lib\logging\__init__.py:1011(handle)
        5    0.000    0.000    4.764    0.953 C:\Program Files\Python312\Lib\logging\__init__.py:1746(callHandlers)
        5    0.000    0.000    4.763    0.953 C:\Program Files\Python312\Lib\logging\handlers.py:65(emit)
        5    0.000    0.000    4.761    0.952 C:\Program Files\Python312\Lib\logging\handlers.py:183(shouldRollover)
        5    0.001    0.000    4.761    0.952 {method 'seek' of '_io.TextIOWrapper' objects}
      3/1    0.000    0.000    4.760    4.760 C:\Program Files\Python312\Lib\threading.py:1018(_bootstrap)
        1    0.000    0.000    4.698    4.698 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\error_handler.py:34(wrapper)
        1    0.000    0.000    4.698    4.698 \\wsl$\Ubuntu\home\erfi\apmpy\src\main.py:39(main)
        1    0.000    0.000    4.698    4.698 \\wsl$\Ubuntu\home\erfi\apmpy\src\tracker.py:17(run)
        1    0.000    0.000    4.698    4.698 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:110(run_main_loop)
        1    0.000    0.000    4.698    4.698 C:\Program Files\Python312\Lib\tkinter\__init__.py:1503(mainloop)
        1    0.000    0.000    4.698    4.698 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.000    0.000    4.698    4.698 \\wsl$\Ubuntu\home\erfi\apmpy\src\tracker.py:33(on_closing)
        1    0.000    0.000    4.697    4.697 C:\Program Files\Python312\Lib\threading.py:1117(join)
        1    0.000    0.000    4.697    4.697 C:\Program Files\Python312\Lib\threading.py:1155(_wait_for_tstate_lock)
 1036/821    4.217    0.004    4.695    0.006 {method 'acquire' of '_thread.lock' objects}
      207    0.001    0.000    4.621    0.022 C:\Program Files\Python312\Lib\threading.py:637(wait)
      205    0.001    0.000    4.619    0.023 C:\Program Files\Python312\Lib\threading.py:323(wait)
        1    0.000    0.000    0.746    0.746 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:24(setup_gui)
        1    0.000    0.000    0.590    0.590 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\gui_manager.py:49(setup_notebook)
4383/2410    0.011    0.000    0.583    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:54(draw_wrapper)
        1    0.000    0.000    0.512    0.512 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\graph_frame.py:16(__init__)
        1    0.000    0.000    0.512    0.512 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\graph_frame.py:22(setup_graph_frame)
       21    0.000    0.000    0.410    0.020 C:\Program Files\Python312\Lib\tkinter\__init__.py:860(callit)
        4    0.000    0.000    0.385    0.096 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:141(_on_timer)
        4    0.000    0.000    0.385    0.096 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:1172(_on_timer)
        4    0.000    0.000    0.385    0.096 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1399(_step)
        4    0.000    0.000    0.385    0.096 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1091(_step)
        4    0.000    0.000    0.385    0.096 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1116(_draw_next_frame)
     3696    0.006    0.000    0.370    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:623(draw)
    11/10    0.000    0.000    0.359    0.036 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_tkagg.py:9(draw)
    11/10    0.000    0.000    0.342    0.034 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:380(draw)
    11/10    0.000    0.000    0.342    0.034 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:93(draw_wrapper)
    11/10    0.000    0.000    0.341    0.034 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:3142(draw)
    22/11    0.000    0.000    0.332    0.030 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\image.py:114(_draw_list_compositing_images)
       11    0.001    0.000    0.332    0.030 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3072(draw)
      6/5    0.001    0.000    0.322    0.064 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1738(_draw_frame)
      6/5    0.001    0.000    0.320    0.064 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\graph_frame.py:57(update_graph)
        2    0.000    0.000    0.265    0.133 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\__init__.py:1470(inner)
        2    0.002    0.001    0.265    0.133 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_axes.py:2325(bar)
        5    0.000    0.000    0.255    0.051 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1139(_post_draw)
        4    0.001    0.000    0.255    0.064 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1149(_blit_draw)
     2400    0.001    0.000    0.250    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3143(draw_artist)
  311/290    0.186    0.001    0.220    0.001 {method 'call' of '_tkinter.tkapp' objects}
     4942    0.004    0.000    0.216    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:306(get_transform)
      600    0.003    0.000    0.202    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:2406(add_patch)
        1    0.000    0.000    0.193    0.193 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1610(__init__)
        1    0.000    0.000    0.193    0.193 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1387(__init__)
        1    0.000    0.000    0.193    0.193 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:843(__init__)
        1    0.000    0.000    0.193    0.193 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1186(_setup_blit)
      2/1    0.000    0.000    0.193    0.193 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:1706(_init_draw)
     4856    0.017    0.000    0.193    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:790(get_patch_transform)
      600    0.009    0.000    0.160    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:2419(_update_patch_limits)
     3696    0.019    0.000    0.126    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:574(_draw_paths_with_artist_properties)
        1    0.000    0.000    0.113    0.113 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\icon_utils.py:37(set_window_icon)
       22    0.000    0.000    0.111    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1415(draw)
        2    0.000    0.000    0.106    0.053 C:\Program Files\Python312\Lib\tkinter\__init__.py:4157(__init__)
        2    0.000    0.000    0.106    0.053 C:\Program Files\Python312\Lib\tkinter\__init__.py:4096(__init__)
     4856    0.003    0.000    0.090    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:924(get_bbox)
16683/5183    0.037    0.000    0.088    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2450(get_affine)
5649/5023    0.005    0.000    0.086    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\cbook.py:285(process)
    11/10    0.000    0.000    0.079    0.008 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:1215(_process)
        1    0.000    0.000    0.079    0.079 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\animation.py:880(_start)
        1    0.000    0.000    0.069    0.069 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:10(__init__)
        1    0.000    0.000    0.068    0.068 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:16(setup_settings_frame)
        4    0.000    0.000    0.063    0.016 C:\Program Files\Python312\Lib\tkinter\__init__.py:1375(update_idletasks)
        1    0.000    0.000    0.062    0.062 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\keyboard\_win32.py:274(__init__)
        1    0.000    0.000    0.062    0.062 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:463(__init__)
        1    0.000    0.000    0.062    0.062 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:489(update_layout)
        1    0.060    0.060    0.062    0.062 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\_util\win32.py:504(_generate_layout)
      456    0.007    0.000    0.060    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:358(_get_layout)
     3696    0.003    0.000    0.058    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:94(draw_path)
     5460    0.007    0.000    0.053    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:782(_convert_units)
     3696    0.030    0.000    0.053    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      257    0.001    0.000    0.048    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:918(get_window_extent)
      261    0.002    0.000    0.045    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:737(draw)
    13471    0.004    0.000    0.044    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1350(__add__)
     5758    0.006    0.000    0.042    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:814(from_extents)
        1    0.000    0.000    0.040    0.040 C:\Program Files\Python312\Lib\tkinter\__init__.py:2326(__init__)
       10    0.000    0.000    0.039    0.004 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\legend.py:748(draw)
       96    0.002    0.000    0.039    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1295(_update_ticks)
      604    0.001    0.000    0.038    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:738(__init__)
    13471    0.008    0.000    0.038    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2517(composite_transform_factory)
        1    0.038    0.038    0.038    0.038 {built-in method _tkinter.create}
       82    0.000    0.000    0.036    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:269(draw)
       64    0.000    0.000    0.035    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1347(_get_ticklabel_bboxes)
      616    0.002    0.000    0.035    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:769(set_clip_path)
      609    0.003    0.000    0.035    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:48(__init__)
     1720    0.005    0.000    0.035    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1173(_update_props)
     1679    0.001    0.000    0.035    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1209(_internal_update)
    22218    0.014    0.000    0.034    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1899(__init__)
      612    0.002    0.000    0.034    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1428(__sub__)
       11    0.000    0.000    0.034    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
      912    0.001    0.000    0.034    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
    17643    0.004    0.000    0.033    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1802(convert_units)
    90/10    0.000    0.000    0.031    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:31(draw_wrapper)
    50/10    0.000    0.000    0.031    0.003 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:374(draw)
6853/5290    0.003    0.000    0.031    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\_api\deprecation.py:292(wrapper)
   185525    0.020    0.000    0.031    0.000 {built-in method builtins.isinstance}
      255    0.001    0.000    0.030    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1238(findfont)
    17643    0.008    0.000    0.029    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\units.py:56(_is_natively_supported)
     3600    0.004    0.000    0.029    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\path.py:413(iter_bezier)
      121    0.000    0.000    0.028    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
     1541    0.002    0.000    0.027    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1482(transform)
    12160    0.010    0.000    0.027    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2358(__init__)
      253    0.000    0.000    0.026    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:249(_prepare_font)
        3    0.006    0.002    0.026    0.009 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1398(_findfont_cached)
       21    0.000    0.000    0.026    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2644(_update_label_position)
     7419    0.006    0.000    0.025    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\colors.py:275(to_rgba)
   130/70    0.001    0.000    0.025    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:473(_get_bbox_and_child_offsets)
    11389    0.004    0.000    0.025    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:269(convert_xunits)
    11957    0.004    0.000    0.024    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:281(convert_yunits)
      253    0.001    0.000    0.024    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1308(_find_fonts_by_props)
       32    0.000    0.000    0.023    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2188(_get_tick_boxes_siblings)
     3910    0.002    0.000    0.022    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:635(new_gc)
     5758    0.002    0.000    0.022    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:215(reshape)
       66    0.000    0.000    0.022    0.000 C:\Program Files\Python312\Lib\tkinter\__init__.py:2647(__init__)
     6480    0.005    0.000    0.022    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
    60/40    0.000    0.000    0.022    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:441(_get_bbox_and_child_offsets)
     1541    0.001    0.000    0.021    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2425(transform_affine)
       10    0.000    0.000    0.021    0.002 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1356(get_tightbbox)
     3000    0.011    0.000    0.021    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\bezier.py:208(__call__)
   140/50    0.000    0.000    0.021    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:358(get_bbox)
      132    0.001    0.000    0.021    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
       15    0.000    0.000    0.021    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\backend_tkagg.py:13(blit)
       15    0.000    0.000    0.021    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:70(blit)
       21    0.000    0.000    0.021    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\text.py:73(_get_text_metrics_with_cache_impl)
     3910    0.005    0.000    0.020    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:711(__init__)
    31266    0.008    0.000    0.020    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\__init__.py:745(__getitem__)
       56    0.000    0.000    0.020    0.000 C:\Program Files\Python312\Lib\tkinter\ttk.py:506(__init__)
        4    0.019    0.005    0.019    0.005 {built-in method _io.open}
     9235    0.004    0.000    0.019    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2609(get_matrix)
       15    0.000    0.000    0.019    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:56(_blit)
       15    0.019    0.001    0.019    0.001 {built-in method matplotlib.backends._tkagg.blit}
    17807    0.017    0.000    0.018    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:182(set_children)
    29674    0.013    0.000    0.018    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1779(__init__)
        1    0.000    0.000    0.018    0.018 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\pyplot.py:1604(subplots)
      100    0.001    0.000    0.018    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:762(get_bbox)
     4858    0.005    0.000    0.018    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2594(__init__)
     7035    0.009    0.000    0.017    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:759(__init__)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:727(subplots)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\gridspec.py:249(subplots)
     3606    0.001    0.000    0.017    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:239(__array__)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\figure.py:586(add_subplot)
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:564(__init__)
     6109    0.003    0.000    0.017    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1118(get_points)
50430/50400    0.010    0.000    0.017    0.000 {built-in method builtins.getattr}
      253    0.017    0.000    0.017    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.000    0.000    0.017    0.017 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:269(idle_draw)
     1215    0.001    0.000    0.016    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:387(_set_facecolor)
    10781    0.011    0.000    0.016    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\_api\__init__.py:64(check_isinstance)
6010/3010    0.002    0.000    0.016    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2394(__eq__)
